"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TNFRSF18" 40.5060499312376 1.20484084548652 0.440562671648865 2.73477741765375 0.00624224702600954 0.0328926414551444
"SMIM1" 107.453444713662 1.01190494274915 0.361412053267933 2.79986495635487 0.00511239892795623 0.0278981824665209
"GPR153" 92.7048759698935 1.77127365647962 0.368662528830448 4.80459368110678 1.55066084401902e-06 2.87664897115491e-05
"ESPN" 287.11887163847 1.22272312712368 0.403306296216393 3.03174817401717 0.00243141956579636 0.0154155906366374
"TNFRSF25" 46.831059844107 1.60490255549174 0.428952808483902 3.74144316985389 0.000182966554665806 0.00184332673804026
"FBXO2" 994.70598480181 1.51391978353259 0.113790849059986 13.3044071297377 2.1821718753523e-40 1.32499797677642e-37
"TMEM51" 302.201244759023 1.17930157073642 0.190294657121243 6.19723952619986 5.74620215116254e-10 2.13951163585856e-08
"EFHD2" 1148.47806447267 1.36461911199156 0.271324330936012 5.02947563634969 4.91822987173197e-07 1.01495549000043e-05
"ACTL8" 41.3488044060427 -1.64372612855025 0.436288715167301 -3.76751923991419 0.000164877837180159 0.00168692573918547
"PLA2G5" 160.023331981858 -5.87769808419876 0.593329453023719 -9.90629751185433 3.90863131275058e-23 6.17055625343934e-21
"PLA2G2F" 15.3619337720937 3.04685913270869 0.771418883361515 3.94968181156232 7.82551511128901e-05 0.000892640224435836
"EXTL1" 80.1867697635639 1.32787455230985 0.324383720554964 4.09353018714407 4.24854734592815e-05 0.00053401128145038
"TRNP1" 476.888925182326 1.1193713727728 0.206059881624737 5.43226252459626 5.56439784873179e-08 1.37258045059264e-06
"COL16A1" 72.5737857112377 1.8125151512111 0.380992564222602 4.75735046144394 1.96150461109286e-06 3.54305186445344e-05
"AGO4" 2221.55909569457 1.18656305897925 0.0899750206373635 13.1876942130593 1.03296600690304e-39 6.03979050036232e-37
"ZC3H12A" 2356.24007730995 1.00425978778338 0.0991274376987906 10.1309971396107 4.02523456716274e-24 7.47604448374096e-22
"BEST4" 23.0300045452598 1.98743905688399 0.532767810967728 3.73040378185381 0.000191173142408933 0.00191015848051255
"PIK3R3" 6792.0791938151 1.10825176728142 0.0741804485255959 14.9399442751956 1.81126633448043e-50 2.19957397095712e-47
"AL358075.4" 3535.5690595521 1.04057334680535 0.0855998275105594 12.1562551826052 5.31393002630364e-34 1.95095379826176e-31
"TRABD2B" 64.6381265036703 1.03529939665505 0.310209391079001 3.33742119493535 0.000845596974191625 0.00655348032968246
"LDLRAD1" 20.8351717242422 1.61605230461839 0.624781044902515 2.58658984263927 0.00969308971597948 0.0466719846188995
"MROH7" 101.51650877738 1.24435142626587 0.305986443257604 4.06668809578034 4.76859982078257e-05 0.000590446159770152
"FYB2" 32.8423913846336 -1.40025826382744 0.474181807268542 -2.95299870716979 0.00314703281031923 0.0190499259879255
"ROR1" 582.470284949659 1.13444459033397 0.14217366814761 7.97928762136283 1.47180250458438e-15 1.18796539167567e-13
"ADGRL4" 18.3997992793496 -3.32341840094028 0.677155988949979 -4.90790667907064 9.20536345886176e-07 1.79258131251503e-05
"BRDT" 251.296899693612 -2.85806277500722 1.00703973089919 -2.83808343138084 0.00453853178157968 0.0254350213000867
"PALMD" 60.4683604086962 -1.35021043172379 0.499336144480722 -2.70401100871222 0.00685080194386356 0.035355871293813
"FRRS1" 309.64100619445 -1.08540898440562 0.33601429712312 -3.23024643206749 0.00123683561167914 0.00890375002351965
"NTNG1" 347.375632546258 -1.44063821571596 0.319486761635939 -4.50922663693213 6.50643727292777e-06 0.000102633350350225
